,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,3,0,5,2,6,0,1,3,3,0,97508922.07755308,274111745.21339804,0.082864207288662,0.0,84241058.78623635,0.0,217800000.0,0.0
76,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,6,7,2,1,2,0,7,7,4,0,3,0,46083360.17710863,375806435.1787767,0.03977624011525142,15354981.015551902,78174936.9426401,0.006563397506854139,205800000.0,0.0
77,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,5,3,1,2,1,7,1,3,5,2,0,3,2,5223075.068460631,360207921.3418069,0.0005344067122724392,96822632.3914012,91143904.57572645,0.005045009012372237,230600000.0,2999.703234400337
78,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,7,2,1,2,2,3,0,6,4,2,0,2,0,7,3,58129119.99926941,366550004.8110331,0.04827741530651981,0.0,97766912.76347569,0.0,544800000.0,0.0
79,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,1,0,5,6,7,2,7,0,1,1,3,0,1,0,20974613.37063812,395052741.2736239,0.0021766660229607417,83278569.33311959,46935800.50449467,0.0042639874969619415,290400000.0,2930.228036183342
80,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,3,4,7,0,7,10,6,3,1,0,7,0,4,1,0.0,462253008.1267091,0.0,46365758.03953872,83085725.54144861,0.01889328221485751,151900000.0,0.0
81,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,3,5,6,0,1,0,1,7,5,0,5,0,0,0,2,38337631.685685575,313045206.7647817,0.002318839876257269,667466.3882293071,38647001.6539097,1.8341018962281492e-05,698400000.0,985.9326621387991
82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,1,4,7,4,2,7,10,8,1,1,4,1,15249042.398240818,386234807.565302,0.0008385728494971333,25125085.49078282,143671131.49863857,0.001308514533676999,84600000.0,1140.666204132492
83,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,7,0,0,3,1,6,5,0,4,0,0,3,3,46936135.92930931,301150285.8483464,0.023114602921163407,10768703.720922781,73617190.94174266,0.0034323542200345603,236500000.0,0.0
84,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,3,2,3,7,4,0,1,6,0,3,2,1,3,3,0,5231925.365325568,327119682.1803338,0.004467011659493896,0.0,87962196.35387534,0.0,1039100000.0,0.0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,1,3,6,5,1,5,3,0,0,2,2,0.0,385744733.75377965,0.0,118558008.81693059,78142022.14857729,0.01858763054210779,0.0,1711.523141523693
86,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,3,0,6,4,7,0,7,3,5,3,1,0,0,3,34667490.39571733,402751606.241994,0.029376867608015163,57347056.291289404,59690236.81431668,0.024714536250833405,321100000.0,0.0
87,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,3,0,5,0,2,2,6,4,6,7,5,7,0,1,0,0,0.0,328337796.9951658,0.0,70411157.12692928,52976615.79307422,0.003677196896264938,569600000.0,2097.6627174473374
88,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,3,7,7,5,4,1,9,3,0,0,0,0,5,1,14433000.656579435,517646149.6829786,0.012332693797939472,44403065.07028988,66294113.011456475,0.014285085645803792,151900000.0,0.0
89,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,0,0,6,2,0,0,4,4,0,8,1,0,3,1,61574851.50007373,243171274.33945328,0.05244104027418549,6669121.144928817,82423082.47643873,0.002486906394069721,595100000.0,0.0
90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,7,0,4,2,6,2,1,0,7,0,3,1,20974613.37063812,316038354.2140975,0.018138883524672852,38620322.6635497,79113857.03304084,0.0156874646622814,121200000.0,0.0
91,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,4,1,3,0,2,1,0,6,1,7,5,1,0,1,0,15737606.60709443,275228226.3660996,0.00902606671494716,11342016.147486078,62762401.5347955,0.004918735605371553,690800000.0,0.0
92,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,0,0,2,0,1,5,4,7,1,1,2,3,3,52613806.14407544,202300958.6139759,0.004454835060830243,0.0,126471982.8263824,0.0,417700000.0,1034.2074488692788
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,10,5,0,0,1,1,7,5,2,20945679.73733166,245494298.69228172,0.009664488209089892,19582165.315776195,144726779.14040586,0.004873878417217422,0.0,0.0
